cfid,spotdate,nvol
AUD_10Y_2Y_AM,2017-01-05,79.11
AUD_10Y_2Y_AM,2017-01-06,76.87
AUD_10Y_2Y_AM,2017-01-09,77.77
AUD_10Y_2Y_AM,2017-01-10,78.53
AUD_10Y_2Y_AM,2017-01-11,78.6
AUD_10Y_2Y_AM,2017-01-12,79.74
AUD_10Y_2Y_AM,2017-01-13,78.3
AUD_10Y_2Y_AM,2017-01-16,79.43
AUD_10Y_2Y_AM,2017-01-17,79.65
AUD_10Y_2Y_AM,2017-01-18,80.5
AUD_10Y_2Y_AM,2017-01-19,80.13
AUD_10Y_2Y_AM,2017-01-20,79.58
AUD_10Y_2Y_N100,2017-01-03,72.6
AUD_10Y_2Y_N100,2017-01-04,72.1
AUD_10Y_2Y_N100,2017-01-05,73.09
AUD_10Y_2Y_N100,2017-01-06,70.78
AUD_10Y_2Y_N100,2017-01-09,71.68
AUD_10Y_2Y_N100,2017-01-10,72.48
AUD_10Y_2Y_N100,2017-01-11,72.58
AUD_10Y_2Y_N100,2017-01-12,73.36
AUD_10Y_2Y_N100,2017-01-13,72.19
AUD_10Y_2Y_N100,2017-01-16,73.27
AUD_10Y_2Y_N100,2017-01-17,73.42
AUD_10Y_2Y_N100,2017-01-18,74.4
AUD_10Y_2Y_N100,2017-01-19,74.25
AUD_10Y_2Y_N100,2017-01-20,73.72
AUD_10Y_2Y_N150,2017-01-03,69.28
AUD_10Y_2Y_N150,2017-01-04,68.74
AUD_10Y_2Y_N150,2017-01-05,69.65
